OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,8_09817,20160622,8,09817,ARISTÓTELES-POLIDEPORTIVO,,S,,,,,,Z,28,127,12715,,02555,Calle,,Aristóteles,N,1,,,28230,01,,,,,9,6,B2,3,127-005,1014,,533-IV,2,3,20010621,19010101,,422577,4485323,T,,ARISTÓTELES-POLIDEPORTIVO,,
2,8_06974,20160622,8,06974,EMPECINADO-CONVENTO,,S,,,,,,U,28,005,00501,0050101,A0235,Calle,del,Empecinado,N,16,,,28801,01,001,,T005996,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,468947,4481218,T,,EMPECINADO-CONVENTO,,
3,8_06981,20160622,8,06981,LUIS VIVES-BEATRÍZ GALINDO,,S,,,,,,U,28,005,00501,0050101,A0424,Calle,,Luis Vives,N,4,,,28803,03,001,,T0051080,0050101026,8,2,B3,3,005-021,877,,560-1,2,3,20010621,19010101,,468867,4480939,T,,LUIS VIVES-BEATRÍZ GALINDO,,
4,8_09820,20160622,8,09820,AV.ATENAS-C.C.ZOCO MONTERROZAS,,S,,,,,,Z,28,127,12715,,01060,Avda,de,Atenas,N,75,,,28230,01,,,,,9,6,B2,3,127-005,1014,,533-IV,2,3,20010621,19010101,,421874,4485808,T,,AV.ATENAS-C.C.ZOCO MONTERROZAS,,
5,8_10344,20160622,8,10344,VALDEMANCO-AV.DESVÍO,,S,,,,,,U,28,158,15801,1580101,A0016,Avda,del,Desvío,N,5500,,M-610,28729,01,001,41,T15831,,,1,C2,3,158-001,1078,,484-4,1,11,20010621,19010101,,444187,4524886,T,,VALDEMANCO-AV.DESVÍO,,
6,8_09826,20160622,8,09826,AV.ATENAS-URB.EL PINAR,,S,,,,,,Z,28,127,12715,,01060,Avda,de,Atenas,N,40,,,28230,01,,,,,9,6,B2,3,127-003,1012,,533-IV,2,3,20010621,19010101,,423173,4487379,T,,AV.ATENAS-URB.EL PINAR,,
7,8_09776,20160622,8,09776,PZA.VILLA-MAYOR,,S,,,,,,U,28,101,10101,,00043,Plaza,de la,Villa,N,11,,,28515,01,,11,,,12,2,C2,4,101-001,1133,,560-IV,3,11,20010621,19010101,,481270,4468923,T,,PZA.VILLA-MAYOR,,
8,8_09739,20160622,8,09739,COMUNIDAD EUROPEA-CENTRO COMERCIAL,,S,,,,,,U,28,100,10006,,A0030,Calle,de la,Comunidad Europea,N,43,,,28514,01,003,11,T100194,,,2,C2,3,100-001,1132,,560-4,1,0,20010621,19010101,,477572,4467437,T,,COMUNIDAD EUROPEA-CENTRO COMERCIAL,,
9,8_09740,20160622,8,09740,RONDA MANCHESTER-RONDA HISPANOAMERICANA,,S,,,,,,Z,28,100,10006,,A0075,Calle,,Ronda de Manchester,N,166,,,28514,01,,11,,,12,2,C2,4,100-001,1132,,560-IV,1,0,20010621,19010101,,477073,4467518,T,,RONDA MANCHESTER-RONDA HISPANOAMERICANA,,
10,8_09741,20160622,8,09741,RONDA HISPANOAMERICANA-PºMADRID,,S,,,,,,Z,28,100,10006,1000601,A0076,Ronda,,Hispano-Americana,N,185,,,28514,01,001,11,,,12,2,C2,4,100-001,1132,,560-IV,4,0,20010621,19010101,,477307,4466736,T,,RONDA HISPANOAMERICANA-PºMADRID,,
11,8_09742,20160622,8,09742,RONDA HISPANOAMERICANA-NUEVE,,S,,,,,,Z,28,100,10006,,A0076,Ronda,,Hispano-Americana,N,133,,,28514,01,,11,,,12,2,C2,4,100-001,1132,,560-IV,4,0,20010621,19010101,,477974,4466929,T,,RONDA HISPANOAMERICANA-NUEVE,,
12,8_09745,20160622,8,09745,MAYOR-PZA.VILLA,,S,,,,,,U,28,101,10101,,00032,Calle,,Mayor,N,28,,,28515,01,,11,,,12,2,C2,4,101-001,1133,,560-IV,3,11,20010621,19010101,,481271,4468912,T,,MAYOR-PZA.VILLA,,
13,8_09750,20160622,8,09750,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,Con Calle Gavilán,S,,,,,,Z,28,014,01407,0140701,10248,Avda,de,Alcalá de Henares,SN,SN,,,28500,01,001,,,,8,3,B3,3,014-003,888,,583-I,1,1,20010621,19010101,,461984,4462577,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,
14,8_09751,20160622,8,09751,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,S,,,,,,Z,28,014,01407,,10248,Avda,de,Alcalá de Henares,N,3,,,28500,01,,,,,8,3,B3,3,014-003,888,,583-1,1,8,20010621,19010101,,461946,4462572,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,
15,8_11930,20160622,8,11930,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,S,,,,,,U,28,005,00501,0050101,A0638,Plaza,,Rodríguez Marín,N,3,,,28801,01,001,,T005929,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,469243,4481462,T,,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,
16,8_09755,20160622,8,09755,CTRA.M209-URB.MONTEHERMOSO,Con Avda del Valle,S,,,,,,C,28,033,03302,0330201,00241,Ctra, ,Madrid,N,4200,,M-209,28510,01,002,11,T033142,,,3,C1,3,033-001,1122,,solape,1,7,20010621,19010101,,466548,4465101,T,,CTRA.M209-URB.MONTEHERMOSO,,
17,8_09756,20160622,8,09756,ALCALÁ-ESPINO,,S,,,,,,T,28,165,16501,,A0005,Calle,,Alcalá,N,18,,M-224,28511,01,,11,,,12,3,C2,4,165-001,1146,,583-II,2,1,20010621,19010101,,474472,4461053,T,,ALCALÁ-ESPINO,,
18,8_09757,20160622,8,09757,ALCALÁ-MAYOR,,S,,,,,,T,28,165,16501,1650101,99999,Calle,,Alcalá,N,76,,M-224,28511,01,001,11,,,12,3,C2,4,165-001,1146,,583-II,1,1,20010621,19010101,,474568,4460617,T,,ALCALÁ-MAYOR,,
19,8_15403,20160622,8,15403,PUERTO DE SOMOSIERRA-CTRA.M413,,S,,,,,,U,28,015,01503,0150302,C0001,Calle, ,Puerto de Somosierra,N,S/N,,,28939,01,009,,T0155457,0150302001,7,4,B3,2,015-002,672,,581-2,2,3,20030917,20030917,,420568,4461111,T,,PUERTO DE SOMOSIERRA-CTRA.M413,,
20,8_15457,20160622,8,15457,MÓSTOLES-ALCALDE P.DURÁN Y PÉREZ CASTRO,,S,,,,,,U,28,074,07402,0740201,C0028,Calle,de,Móstoles,N,12,,,28914,07,005,,T0741559,,,4,B1,2,074-034,773,,582-1,2,3,20040128,20040128,,432932,4463325,T,,MÓSTOLES-ALCALDE P.DURÁN Y PÉREZ CASTRO,,
21,8_12529,20160622,8,12529,CERVERA DE BUITRAGO-AYUNTAMIENTO,,S,,,,,,U,28,039,03901,,00022,Calle,de la,Iglesia,N,2,,,28193,01,,,,,10,1,C2,4,039-001,1045,,,2,3,20010621,19010101,,455466,4530468,T,,CERVERA DE BUITRAGO-AYUNTAMIENTO,,
