OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,OBJECTID_1,MODO_1,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION_1,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION_1,CODIGOPROVINCIA_1,CODIGOMUNICIPIO_1,MUNICIPIO,CORONATARIFARIA_1,DIRECCION,FECHAALTA_1,FECHAINICIO_1,FECHAFIN_1,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE_1,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
1,8_06974,20160622,8,06974,EMPECINADO-CONVENTO,,S,,,,,,U,28,005,00501,0050101,A0235,Calle,del,Empecinado,N,16,,,28801,01,001,,T005996,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,468947,4481218,T,,EMPECINADO-CONVENTO,,,,580,8,348961,91005,1,2,1,06974,*,,13,TI,I,EMPECINADO-CONVENTO,28,005,ALCALA DE HENARES,B3,Calle del Empecinado N 16,20121220,20130105,,465.8458,15,9,_,28,005,9__1__005__-_2_IT_1_8_06974_*__TI_I_13,-,1005201,EMPECINADO-CONVENTO,9__1__005_,9__1__005__1005201_2_IT_1,8_06974,8_06974_*,8_06974_
2,8_06981,20160622,8,06981,LUIS VIVES-BEATRÍZ GALINDO,,S,,,,,,U,28,005,00501,0050101,A0424,Calle,,Luis Vives,N,4,,,28803,03,001,,T0051080,0050101026,8,2,B3,3,005-021,877,,560-1,2,3,20010621,19010101,,468867,4480939,T,,LUIS VIVES-BEATRÍZ GALINDO,,,,608,8,348962,91005,1,2,2,06981,*,,3,TI,I,LUIS VIVES-BEATRÍZ GALINDO,28,005,ALCALA DE HENARES,B3,Calle  Luis Vives N 4,20121220,20130105,,273.0722,13.36,9,_,28,005,9__1__005__g._2_IT_2_8_06981_*__TI_I_3,g.,1005207,LUIS VIVES-BEATRÍZ GALINDO,9__1__005_,9__1__005__1005207_2_IT_2,8_06981,8_06981_*,8_06981_
3,8_09750,20160622,8,09750,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,Con Calle Gavilán,S,,,,,,Z,28,014,01407,0140701,10248,Avda,de,Alcalá de Henares,SN,SN,,,28500,01,001,,,,8,3,B3,3,014-003,888,,583-I,1,1,20010621,19010101,,461984,4462577,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,,,1758,8,355104,91014,1,1,1,09750,*,,21,TI,I,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares SN SN,20151027,20151104,,535.5477,40,9,_,28,014,9__1__014__-_1_IT_1_8_09750_*__TI_I_21,-,1014101,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,9__1__014_,9__1__014__1014101_1_IT_1,8_09750,8_09750_*,8_09750_
4,8_09751,20160622,8,09751,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,S,,,,,,Z,28,014,01407,,10248,Avda,de,Alcalá de Henares,N,3,,,28500,01,,,,,8,3,B3,3,014-003,888,,583-1,1,8,20010621,19010101,,461946,4462572,T,,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,,,,1760,8,355105,91014,1,2,1,09751,*,,13,TI,I,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares N 3,20151027,20151104,,224.0012,-1,9,_,28,014,9__1__014__-_2_IT_1_8_09751_*__TI_I_13,-,1014201,AV.ALCALÁ DE HENARES-URB.LOS VILLARES,9__1__014_,9__1__014__1014201_2_IT_1,8_09751,8_09751_*,8_09751_
5,8_11930,20160622,8,11930,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,S,,,,,,U,28,005,00501,0050101,A0638,Plaza,,Rodríguez Marín,N,3,,,28801,01,001,,T005929,0050101007,8,2,B3,3,005-020,876,,560-1,2,3,20010621,19010101,,469243,4481462,T,,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,,,,332,8,348964,91005,1,2,2,11930,*,,13,TI,I,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,28,005,ALCALA DE HENARES,B3,Plaza  Rodríguez Marín N 3,20121220,20130105,,652.1962,15,9,_,28,005,9__1__005__p2_2_IT_2_8_11930_*__TI_I_13,p2,1005203,PZA.RODRÍGUEZ MARÍN-AYUNTAMIENTO,9__1__005_,9__1__005__1005203_2_IT_2,8_11930,8_11930_*,8_11930_
6,8_12379,20160622,8,12379,AV.EUROPA-REINO UNIDO,,S,,,,,,U,28,113,11301,1130102,00069,Avda,de,Europa,N,1,,,28320,02,008,,T1133563,,,4,B2,2,113-004,834,,582-3,2,3,20010621,19010101,,440988,4455803,T,,AV.EUROPA-REINO UNIDO,,,,4918,8,353123,91113,1,1,2,12379,*,,3,TI,I,AV.EUROPA-REINO UNIDO,28,113,PINTO,B2,Avda de Europa N 1,20140908,20140720,,370.5829,40,9,_,28,113,9__1__113__c._1_IT_2_8_12379_*__TI_I_3,c.,1113102,AV.EUROPA-REINO UNIDO,9__1__113_,9__1__113__1113102_1_IT_2,8_12379,8_12379_*,8_12379_
7,8_12553,20160622,8,12553,ESCOFINA-CAMINO DEL MOLINO,,S,,,,,,U,28,047,04705,0470501,99999,Calle,,Escofina,N,16,,,28409,01,001,,,,9,6,B3,3,047-007,969,,,1,0,20010621,19010101,,413828,4498350,T,,ESCOFINA-CAMINO DEL MOLINO,,,,2607,8,350885,92047,2,1,1,12553,*,,30,TI,I2,ESCOFINA-CAMINO DEL MOLINO,28,047,COLLADO VILLALBA,B3,Calle  Escofina N 16,20131023,20131101,,202.5518,40,9,_,28,047,9__2__047__-_1_IT_1_8_12553_*__TI_I2_30,-,2047101,ESCOFINA-CAMINO DEL MOLINO,9__2__047_,9__2__047__2047101_1_IT_1,8_12553,8_12553_*,8_12553_
8,8_12425,20160622,8,12425,AV.PABLO IGLESIAS-AV.LIBERTAD,,S,,,,,,U,28,058,05805,,A0360,Avda,de,Pablo Iglesias,N,17,,,28942,09,,,,,7,4,B2,3,058-003,678,,,2,3,20010621,19010101,,428795,4461999,T,,AV.PABLO IGLESIAS-AV.LIBERTAD,,,,3426,8,342226,91058,1,1,1,12425,*,,33,TI,I,AV.PABLO IGLESIAS-AV.LIBERTAD,28,058,FUENLABRADA,B2,Avda de Pablo Iglesias N 17,20100510,20100601,,380.362,13.36,9,_,28,058,9__1__058__-_1_IT_1_8_12425_*__TI_I_33,-,1058101,AV.PABLO IGLESIAS-AV.LIBERTAD,9__1__058_,9__1__058__1058101_1_IT_1,8_12425,8_12425_*,8_12425_
9,8_12433,20160622,8,12433,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,23,,,28806,04,013,,T005469,,,2,B3,2,005-009,865,,560-1,2,3,20010621,19010101,,468560,4482980,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,,,153,8,323558,910005,10,1,2,12433,*,,9,TI,I,ALEJO CARPENTIER-MIGUEL DELIBES,28,005,ALCALA DE HENARES,B3,Calle   Alejo Carpentier N 23,20010627,19990705,,553.2647,40,9,_,28,005,9__10__005__a._1_IT_2_8_12433_*__TI_I_9,a.,10005102,ALEJO CARPENTIER-MIGUEL DELIBES,9__10__005_,9__10__005__10005102_1_IT_2,8_12433,8_12433_*,8_12433_
10,8_12434,20160622,8,12434,ALEJO CARPENTIER-MIGUEL DELIBES,,S,,,,,,U,28,005,00501,,A0022,Calle, ,Alejo Carpentier,N,20,,,28806,04,014,,T005487,,,2,B3,2,005-011,867,,560-1,2,3,20010621,19010101,,468567,4482967,T,,ALEJO CARPENTIER-MIGUEL DELIBES,,,,154,8,328576,910005,10,2,2,12434,*,,12,TI,I,ALEJO CARPENTIER-MIGUEL DELIBES,28,005,ALCALA DE HENARES,B3,Calle   Alejo Carpentier N 20,20010621,19991201,,406.9212,15,9,_,28,005,9__10__005__a._2_IT_2_8_12434_*__TI_I_12,a.,10005202,ALEJO CARPENTIER-MIGUEL DELIBES,9__10__005_,9__10__005__10005202_2_IT_2,8_12434,8_12434_*,8_12434_
