OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
4001,6,340864,521,N21,2,1,1522,*,,22,TI,I,SAN FCO.DE SALES-GUZMAN EL BUENO,28,079,MADRID,A,Paseo de San Francisco de Sales N 33,20090714,20090518,,552.336,30,6,_,,,6_N_521_____2_IT_1_6_1522_*__TI_I_22,,,,6_N_521___,6_N_521_____2_IT_1,6_1522,6_1522_*,6_1522_
4002,6,341032,044,44,2,1,1522,*,,14,TI,I,SAN FCO.DE SALES-GUZMAN EL BUENO,28,079,MADRID,A,Paseo de San Francisco de Sales N 33,20090921,20090807,,552.336,30,6,_,,,6__44_____2_IT_1_6_1522_*__TI_I_14,,,,6__44___,6__44_____2_IT_1,6_1522,6_1522_*,6_1522_
4003,6,341032,044,44,2,1,1523,*,,15,TI,I,SAN FCO.DE SALES-ANDRES MELLADO,28,079,MADRID,A,Paseo de San Francisco de Sales N 23B,20090921,20090807,,166.6721,-1,6,_,,,6__44_____2_IT_1_6_1523_*__TI_I_15,,,,6__44___,6__44_____2_IT_1,6_1523,6_1523_*,6_1523_
4004,6,341032,044,44,2,1,1524,*,,16,TI,I,SAN FCO.DE SALES-PZA.CRISTO REY,28,079,MADRID,A,Paseo de SAN FRANCISCO DE SALES N 1,20090921,20090807,,258.7297,-1,6,93_238,,,6__44_____2_IT_1_6_1524_*__TI_I_16,,,,6__44___,6__44_____2_IT_1,6_1524,6_1524_*,6_1524_
4005,6,340864,521,N21,2,1,1524,*,,23,TI,I,SAN FCO.DE SALES-PZA.CRISTO REY,28,079,MADRID,A,Paseo de SAN FRANCISCO DE SALES N 1,20090714,20090518,,425.4018,-1,6,93_238,,,6_N_521_____2_IT_1_6_1524_*__TI_I_23,,,,6_N_521___,6_N_521_____2_IT_1,6_1524,6_1524_*,6_1524_
4006,6,341038,133,133,2,1,1525,*,,31,TI,I,PZA.DE ESPAÑA,28,079,MADRID,A,Plaza de España N 1,20090921,20090807,,262.4595,-1,6,92_64,,,6__133_____2_IT_1_6_1525_*__TI_I_31,,,,6__133___,6__133_____2_IT_1,6_1525,6_1525_*,6_1525_
4007,6,341032,044,44,2,1,1525,*,,24,TI,I,PZA.DE ESPAÑA,28,079,MADRID,A,Plaza de España N 1,20090921,20090807,,262.4595,10.896,6,92_64,,,6__44_____2_IT_1_6_1525_*__TI_I_24,,,,6__44___,6__44_____2_IT_1,6_1525,6_1525_*,6_1525_
4008,6,331801,310,310,1,1,1527,*,,13,TI,I,LAGO CALAFATE,28,079,MADRID,A,Calle del Lago Calafate N 18,20030325,20030401,,288.069,30,6,_,,,6__10_B____1_IT_1_6_1527_*__TI_I_13,,,,6__10_B__,6__10_B____1_IT_1,6_1527,6_1527_*,6_1527_
4009,6,352423,045,45,1,1,1528,*,,26,TI,T,GTA.PTE.GARCIA MORENO,28,079,MADRID,A,Gta del Presidente García Moreno N 2,20140211,20140526,,384.596,0,6,_,,,6__45_____1_IT_1_6_1528_*__TI_T_26,,-,,6__45___,6__45____-_1_IT_1,6_1528,6_1528_*,6_1528_
4010,6,352424,045,45,2,1,1528,*,,1,TI,T,GTA.PTE.GARCIA MORENO,28,079,MADRID,A,Gta del Presidente García Moreno N 2,20140211,20140526,,0,0,6,_,,,6__45_____2_IT_1_6_1528_*__TI_T_1,,-,,6__45___,6__45____-_2_IT_1,6_1528,6_1528_*,6_1528_
4011,6,352424,045,45,2,1,1529,*,,2,TI,I,AV.REINA VICTORIA-GUZMAN EL BUENO,28,079,MADRID,A,Avda de la Reina Victoria N 55,20140211,20140526,,212.096,11.625,6,93_225,,,6__45_____2_IT_1_6_1529_*__TI_I_2,,-,,6__45___,6__45____-_2_IT_1,6_1529,6_1529_*,6_1529_
4012,6,283802,091,F,2,1,1530,*,,8,TI,I,AV.REINA VICTORIA-GRAL.I.IBERO,28,079,MADRID,A,Avda de la Reina Victoria N 39,19991221,19861001,,298.7294,11.224,6,93_225,,,6__91_____2_IT_1_6_1530_*__TI_I_8,,,,6__91___,6__91_____2_IT_1,6_1530,6_1530_*,6_1530_
4013,6,283890,068,C1,2,1,1530,*,,25,TI,I,AV.REINA VICTORIA-GRAL.I.IBERO,28,079,MADRID,A,Avda de la Reina Victoria N 39,19991221,19861001,,298.7292,12.234,6,93_225,,,6__68_____2_IT_1_6_1530_*__TI_I_25,,,,6__68___,6__68_____2_IT_1,6_1530,6_1530_*,6_1530_
4014,6,352424,045,45,2,1,1530,*,,3,TI,I,AV.REINA VICTORIA-GRAL.I.IBERO,28,079,MADRID,A,Avda de la Reina Victoria N 39,20140211,20140526,,157.0909,0,6,93_225,,,6__45_____2_IT_1_6_1530_*__TI_I_3,,-,,6__45___,6__45____-_2_IT_1,6_1530,6_1530_*,6_1530_
4015,6,331531,519,N19,1,1,5430,*,,30,TI,I,"CALLE DE MIRABEL, 3",28,079,MADRID,A,Calle de Mirabel N 4A,20021028,20021013,,388.381,13.36,6,_,,,6_N_519_____1_IT_1_6_5430_*__TI_I_30,,,,6_N_519___,6_N_519_____1_IT_1,6_5430,6_5430_*,6_5430_
4016,6,283751,114,114,1,1,3534,*,,12,TI,I,MARQUESADO STA.MARTA-FERNANDO MIJARES,28,079,MADRID,A,Calle del Marquesado de Santa Marta N 12,19991221,19900523,,287.706,30,6,_,,,6__114_____1_IT_1_6_3534_*__TI_I_12,,,,6__114___,6__114_____1_IT_1,6_3534,6_3534_*,6_3534_
4017,6,340720,504,N4,1,1,3534,*,,16,TI,I,MARQUESADO STA.MARTA-FERNANDO MIJARES,28,079,MADRID,A,Calle del Marquesado de Santa Marta N 12,20090619,20090518,,287.7059,13.36,6,_,,,6_N_504_____1_IT_1_6_3534_*__TI_I_16,,,,6_N_504___,6_N_504_____1_IT_1,6_3534,6_3534_*,6_3534_
4018,6,339746,118,118,2,1,3535,*,,10,TI,I,AGUACATE-SECOYA,28,079,MADRID,A,Calle del Aguacate N 29,20081229,20081210,,283.698,13.36,6,_,,,6__118_____2_IT_1_6_3535_*__TI_I_10,,,,6__118___,6__118_____2_IT_1,6_3535,6_3535_*,6_3535_
