 1917 c/ Agustín de Foxá 40, Madrid
 2653 Pº Castellana 278, Madrid
 3252 Pº Castellana 292, Madrid
 1546 c/ Sangenjo 2, Madrid
 1548 c/ Ginzo de Limia 51, Madrid
 1357 Avda Cardenal Herrera Oria 244, Madrid
 1355 c/ Ramón Gómez de la Serna 1, Madrid
 1352 Cmno de Fuencarral 1A, Madrid
 1350 Avda Cardenal Herrera Oria 407, Madrid
 1348 Avda Cardenal Herrera Oria 427A, Madrid
 1346 Ctra de El Pardo 23700, Madrid
 1344 Ctra de El Pardo 23500, Madrid
11547 Ctra de El Pardo A La Playa 4, Madrid
06015 Avda Padre Huidobro, Madrid
11670 c/ Bermeo 13, Madrid
10888 c/ Salle 6, Madrid
 5345 Cmno de la Zarzuela 35, Madrid
18928 Cmno del Barrial 45, Madrid
 4795 c/ Pico Ocejón 7, Madrid
06275 Avda Osa Mayor 126, Madrid
06029 Avda Osa Mayor 152, Madrid
06276 c/ Leopoldo Calvo-Sotelo 39, Pozuelo de Alarcon
06277 Avda Juan Xxiii 1, Pozuelo de Alarcon
06278 Avda Juan Xxiii 4B, Pozuelo de Alarcon
09052 Cmno Huertas 34, Pozuelo de Alarcon
09377 c/ Mártires Oblatos 1, Pozuelo de Alarcon
06279 Avda Juan Pablo Ii 52B, Pozuelo de Alarcon
06280 Avda Juan Pablo Ii 75, Pozuelo de Alarcon
09048 Avda Pablo Vi 36, Pozuelo de Alarcon
06883 Avda Pablo Vi 52, Pozuelo de Alarcon
09483 c/ San Juan de la Cruz 4, Pozuelo de Alarcon
09485 c/ San Juan de la Cruz 6, Pozuelo de Alarcon
06882 c/ San Juan de la Cruz 6, Pozuelo de Alarcon
