16807 Avda San Luis 97, Madrid
  130 Avda San Luis 166, Madrid
  132 Avda San Luis 158, Madrid
  134 c/ Jazmín 1, Madrid
  138 c/ Arturo Soria 330, Madrid
  140 c/ Arturo Soria 344, Madrid
 5396 Pl Alcalde Moreno Torres 4, Madrid
16882 Avda Francisco Pi Y Margall 75, Madrid
 3606 Avda Francisco Pi Y Margall 96, Madrid
 3604 Avda Francisco Pi Y Margall 89, Madrid
06686 Avda Burgos 133, Madrid
06687 Avda Burgos 11300, Madrid
06689 Ctra de Irún 13700, Alcobendas
06690 Ctra de Irún 14700, Alcobendas
06691 Avda Olímpica 9, Alcobendas
06692 Avda Olímpica 3A, Alcobendas
07236 Avda España 72, Alcobendas
06755 c/ Marquesa Viuda de Aldama 14, Alcobendas
06756 c/ Marqués de la Valdavia 20, Alcobendas
06758 c/ Marqués de la Valdavia 50, Alcobendas
06759 c/ Marqués de la Valdavia 88, Alcobendas
06763 Avda España 34, Alcobendas
10614 Avda España 52, Alcobendas
06769 Avda Sierra 37, San Sebastian de Los Reyes
06794 Avda Sierra 23, San Sebastian de Los Reyes
06796 Avda Baunatal 2, San Sebastian de Los Reyes
06804 Pl Universidad Popular 2, San Sebastian de Los Reyes
10447 Avda Rosa Luxemburgo 13, San Sebastian de Los Reyes
18973 Bulev del Manzanares, San Sebastian de Los Reyes
18976 Bulev Picos de Europa 18, San Sebastian de Los Reyes
18978 Bulev Picos de Europa 24, San Sebastian de Los Reyes
18979 Bulev Picos de Europa 34, San Sebastian de Los Reyes
