16296 Ctra M-634 (Buitrago de Lozoya) Km 2500, Villavieja del Lozoya
10382 Ctra de la Sierra 40, Villavieja del Lozoya
10380 Pl Constitución (San Mamés) 8, Navarredonda
10378 Pl Constitución (Navarredonda) 1, Navarredonda
18191 Ctra de Pinilla de Buitrago 2, Navarredonda
10377 Ctra de Gargantilla 1, Gargantilla del Lozoya
10375 Pl Carlos Ruiz 10, Gargantilla del Lozoya
12338 Avda Estación, Gargantilla del Lozoya
10363 Cmno de la Estación, Gargantilla del Lozoya
10356 Ctra de Canencia Km 21.600, Garganta de Los Montes
10360 Pl Constitución 16, Canencia
10352 Ctra Comarcal, Garganta de Los Montes
10358 Ctra de Rascafría 23, Garganta de Los Montes
18199 M-969 N, Garganta de Los Montes
12111 Cllon del Real N 2.500, Garganta de Los Montes
10354 Ctra de Rascafría 23, Garganta de Los Montes
18200 M-969 N, Garganta de Los Montes
10351 Ctra Comarcal N 0.000, Garganta de Los Montes
10349 Ctra de Rascafría 1, Garganta de Los Montes
11736 Avda Madrid 16, Lozoyuela-Navas-Sieteiglesias
10347 Avda Madrid 82, Lozoyuela-Navas-Sieteiglesias
11044 Avda Madrid 136, Lozoyuela-Navas-Sieteiglesias
12018 c/ Prados Quemados 10, Lozoyuela-Navas-Sieteiglesias
15769 Avda Madrid 99, Buitrago del Lozoya
12546 Avda Madrid 39, Buitrago del Lozoya
12545 Avda Madrid N, Buitrago del Lozoya
