11048 Avda Universidad 1, Villanueva de la Cañada
16169 Avda Universidad N, Villanueva de la Cañada
11165 c/ Cristo 29, Villanueva de la Cañada
09965 c/ Empedrada 5, Villanueva de la Cañada
12658 c/ Real 1B, Villanueva de la Cañada
09872 Ctra Escorial-Brunete (M-600) 23600, Valdemorillo
12949 c/ San Juan 93, Valdemorillo
18885 c/ Eras Cerradas 33, Valdemorillo
18139 c/ Eras Cerradas 15, Valdemorillo
18138 Cmno Robledo de Chavela 28, Valdemorillo
09858 Ctra Cerro Alarcón 11, Valdemorillo
18884 Ctra M-510 (Navalagamella) 5, Valdemorillo
10162 Ctra Escorial-Brunete (M-600) 27, Valdemorillo
10160 Ctra Escorial-Brunete (M-600) 16700, Valdemorillo
10153 Ctra M-600 N 15.400, Valdemorillo
10154 Ctra Escorial-Brunete (M-600) 14200, El Escorial
12164 Ctra de Valdemorillo N 13.000, El Escorial
11525 Avda Contitución 61, El Escorial
10183 Avda Constitución 17, El Escorial
11923 c/ Padre Wigfrido 1, El Escorial
11529 c/ Juan de Toledo 8, San Lorenzo de El Escorial
10212 c/ Juan de Toledo 23, San Lorenzo de El Escorial
10213 c/ Juan de Toledo 84, San Lorenzo de El Escorial
11530 Ctra de Guadarram, El Escorial
10214 Ctra de Guadarrama N 6.900, San Lorenzo de El Escorial
11026 Cmno del Hospital Sn Sn, San Lorenzo de El Escorial
10206 Ctra de M-600 (Guadarrama) 65, San Lorenzo de El Escorial
11531 Ctra de Guadarrama 39, San Lorenzo de El Escorial
10207 c/ Juan de Toledo 88, San Lorenzo de El Escorial
10208 c/ Juan de Toledo 23, San Lorenzo de El Escorial
10185 c/ Cañada Nueva 19, San Lorenzo de El Escorial
