18663 Extrr Estación Navarrosillos 2, Colmenar Viejo
18107 Pº Ermita de Santa Ana N, Colmenar Viejo
11350 Avda San Agustín de Guadalix 2, Colmenar Viejo
08414 Avda Libertad 14, Colmenar Viejo
06584 c/ San Sebastián 32, Colmenar Viejo
06585 c/ Corredera 1, Colmenar Viejo
06586 Ctra de Miraflores 38, Colmenar Viejo
06587 Ctra de Miraflores 38, Colmenar Viejo
06588 Ctra de Miraflores 38, Colmenar Viejo
12106 Ctra M-609 N 3.700, Soto del Real
10535 Finca La Gamonosa 1, Soto del Real
18933 Avda Víctimas del Terrorismo 2, Soto del Real
09112 Ctra de Miraflores 2, Soto del Real
18934 Ctra de Miraflores 2, Soto del Real
17576 Ctra de Torrelaguna-Escorial 40, Soto del Real
09110 Ctra M-608 N 19.800, Soto del Real
09108 Ctra M-608 (De Cerceda A Soto del Real) 2, Manzanares El Real
17313 Avda Madrid 15, Manzanares El Real
09107 Avda Madrid 11, Manzanares El Real
18367 c/ Paz 2, Manzanares El Real
17315 Ctra de Cerceda A Manzanares 27200, El Boalo
10530 Ctra de Cerceda A Manzanares 1, El Boalo
10277 Ctra de Cerceda A Manzanares 30000, El Boalo
10278 Ctra de Cerceda A Manzanares 2, El Boalo
06800 Avda Los Canteros 10A, El Boalo
10229 Avda Los Canteros 58, El Boalo
17312 Ctra M-608 A Cerceda 34400, Moralzarzal
09308 Ctra M-608 A Villalba 6, Moralzarzal
09309 Ctra M-608 A Villalba 36200, Moralzarzal
10230 Ctra Moralzarzal 37400, Collado Villalba
06379 Ctra Moralzarzal 33, Collado Villalba
06380 Ctra Moralzarzal 31, Collado Villalba
06381 Ctra Moralzarzal 15, Collado Villalba
06384 c/ Real 63, Collado Villalba
18666 c/ Real 55, Collado Villalba
19320 Pl Estación 7, Collado Villalba
15797 c/ Rafael Alberti 15, Collado Villalba
