15457 c/ Móstoles 12, Leganes
15593 c/ Móstoles 24, Leganes
15595 c/ Móstoles 36, Leganes
15597 c/ Alcalde Francisco Moreno Menéndez 4, Leganes
18318 c/ Alcalde Francisco Moreno Menéndez 7, Leganes
15602 c/ Alcalde Francisco Moreno Menéndez 1, Leganes
15604 c/ César García Contonente 6, Leganes
19301 c/ Camino de Polvoranca N S/Na, Leganes
12428 Avda Conde de Barcelona 15, Leganes
07882 c/ Federica Montseny 25, Leganes
09525 c/ Federica Montseny 11, Leganes
08213 c/ Camino de Polvoranca 20, Leganes
07870 Avda Los Pinos 2, Leganes
07866 Avda Orellana 2A, Leganes
07864 Avda Doctor Fleming N, Leganes
07891 Avda Doctor Fleming 22, Leganes
12744 Avda Gibraltar 2, Leganes
07922 Avda Mancha 14, Leganes
13121 Avda Mancha 24B, Leganes
07924 Avda Rey Juan Carlos I 12A, Leganes
07543 Avda Rey Juan Carlos I 32, Leganes
07548 Avda Rey Juan Carlos I 68, Leganes
07984 Avda Rey Juan Carlos I 76, Leganes
11919 Avda Rey Juan Carlos I 100, Leganes
09077 Avda Rey Juan Carlos I 112, Leganes
09079 Avda Gran Bretaña 1, Leganes
12824 Avda Gran Bretaña N, Leganes
12826 c/ Roncal N, Leganes
12827 c/ Clara Janés N, Leganes
12828 Avda Reina Sofía 30, Leganes
11910 Avda María Moliner 33, Leganes
11912 Avda Carmen Martín Gaite 65, Leganes
11911 Avda Carmen Martín Gaite 27, Leganes
11913 Avda Carmen Martín Gaite 15, Leganes
11905 Avda María Guerrero 6, Leganes
08206 Crta. Carabanchel 2, Leganes
15333 Ctra Carabanchel 28, Leganes
08200 Avda Carabanchel Alto 154, Madrid
16166 Avda Carabanchel Alto 53, Madrid
07547 Avda Carabanchel Alto 134, Madrid
07572 Avda Carabanchel Alto 96A, Madrid
07570 Avda Carabanchel Alto 62, Madrid
 4020 Avda Carabanchel Alto 42, Madrid
  378 c/ Eugenia de Montijo 89, Madrid
  667 Avda Los Poblados 82, Madrid
  663 Avda Los Poblados 57, Madrid
  661 Avda Los Poblados 51, Madrid
08380 c/ Valmojado 293, Madrid
